Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,NUBL,600.0,614.9,600.0,612.5,569.0
2024_03_09,NUBL,600.0,614.9,600.0,612.5,569.0
2024_03_11,NUBL,615.1,644.0,615.0,643.9,11948.0
2024_03_15,NUBL,660.0,668.0,640.3,643.0,8203.0
2024_03_16,NUBL,660.0,668.0,640.3,643.0,8203.0
2024_03_22,NUBL,670.0,681.0,658.1,658.1,7629.0
2024_03_23,NUBL,670.0,681.0,658.1,658.1,7629.0
2024_03_24,NUBL,670.0,681.0,658.1,658.1,7629.0
2024_03_29,NUBL,667.0,667.0,640.7,640.8,4547.0
2024_03_30,NUBL,667.0,667.0,640.7,640.8,4547.0
2024_04_05,NUBL,650.0,668.1,646.8,655.3,10987.0
2024_04_06,NUBL,650.0,668.1,646.8,655.3,10987.0
2024_04_08,NUBL,668.4,678.9,651.0,655.0,12688.0
2024_04_11,NUBL,653.8,655.0,635.0,655.0,8814.0
2024_04_12,NUBL,653.8,655.0,635.0,655.0,8814.0
2024_04_13,NUBL,653.8,655.0,635.0,655.0,8814.0
2024_04_17,NUBL,633.7,672.0,633.7,643.0,3369.0
2024_04_19,NUBL,638.2,640.0,631.0,631.0,6058.0
2024_04_20,NUBL,638.2,640.0,631.0,631.0,6058.0
2024_04_23,NUBL,642.0,642.0,620.5,625.6,4084.0
2024_04_26,NUBL,615.6,644.0,615.6,618.0,4416.0
2024_04_27,NUBL,615.6,644.0,615.6,618.0,4416.0
2024_05_01,NUBL,630.0,655.4,628.0,645.0,7195.0
2024_05_03,NUBL,634.1,670.1,634.1,664.0,30577.0
2024_05_04,NUBL,634.1,670.1,634.1,664.0,30577.0
2024_05_10,NUBL,683.0,689.6,662.6,670.0,14540.0
2024_05_11,NUBL,683.0,689.6,662.6,670.0,14540.0
2024_05_17,NUBL,652.0,689.8,652.0,676.0,31875.0
2024_05_18,NUBL,652.0,689.8,652.0,676.0,31875.0
2024_05_23,NUBL,670.0,689.0,670.0,670.2,14410.0
2024_05_24,NUBL,670.0,689.0,670.0,670.2,14410.0
2024_05_25,NUBL,670.0,689.0,670.0,670.2,14410.0
2024_05_28,NUBL,670.0,674.0,661.0,670.0,6140.0
2024_05_31,NUBL,677.0,677.0,650.1,655.0,12256.0
2024_06_01,NUBL,677.0,677.0,650.1,655.0,12256.0
2024_06_07,NUBL,675.0,690.0,668.1,681.0,22186.0
2024_06_08,NUBL,675.0,690.0,668.1,681.0,22186.0
2024_06_14,NUBL,706.0,720.0,692.0,704.9,25937.0
2024_06_15,NUBL,706.0,720.0,692.0,704.9,25937.0
2024_06_17,NUBL,718.0,718.0,680.4,683.0,14248.0
2024_06_21,NUBL,668.0,674.0,667.0,670.0,4891.0
2024_06_22,NUBL,668.0,674.0,667.0,670.0,4891.0
2024_06_28,NUBL,675.9,675.9,659.0,660.0,4194.0
2024_06_29,NUBL,675.9,675.9,659.0,660.0,4194.0
2024_07_05,NUBL,656.0,671.0,656.0,665.0,18021.0
2024_07_06,NUBL,656.0,671.0,656.0,665.0,18021.0
2024_07_12,NUBL,732.0,732.0,710.7,714.1,14717.0
2024_07_13,NUBL,732.0,732.0,710.7,714.1,14717.0
2024_07_19,NUBL,765.0,788.0,755.2,788.0,65629.0
2024_07_20,NUBL,765.0,788.0,755.2,788.0,65629.0
2024_07_26,NUBL,805.0,860.0,792.2,860.0,127819.0
2024_07_27,NUBL,805.0,860.0,792.2,860.0,127819.0
2024_08_02,NUBL,849.0,878.0,841.0,844.0,31934.0
2024_08_03,NUBL,849.0,878.0,841.0,844.0,31934.0
2024_08_04,NUBL,849.0,878.0,841.0,844.0,31934.0
2024_08_09,NUBL,844.0,846.0,818.0,823.0,20745.0
2024_08_10,NUBL,844.0,846.0,818.0,823.0,20745.0
2024_08_16,NUBL,883.3,883.3,858.0,865.0,46552.0
2024_08_17,NUBL,883.3,883.3,858.0,865.0,46552.0
2024_08_19,NUBL,875.0,886.0,852.6,853.0,62705.0
2024_08_20,NUBL,875.0,886.0,852.6,853.0,62705.0
2024_08_23,NUBL,844.0,857.8,839.0,842.0,18489.0
2024_08_24,NUBL,844.0,857.8,839.0,842.0,18489.0
2024_08_26,NUBL,850.0,875.0,826.0,843.0,79506.0
2024_08_30,NUBL,806.0,809.9,777.1,782.0,17800.0
2024_08_31,NUBL,806.0,809.9,777.1,782.0,17800.0
2024_09_06,NUBL,782.0,828.9,767.0,790.0,24864.0
2024_09_07,NUBL,782.0,828.9,767.0,790.0,24864.0
2024_09_13,NUBL,795.6,795.6,766.0,780.0,20894.0
2024_09_14,NUBL,795.6,795.6,766.0,780.0,20894.0
2024_09_17,NUBL,765.5,772.1,741.1,755.0,18370.0
2024_09_19,NUBL,755.0,760.0,738.0,738.0,15564.0
2024_09_20,NUBL,755.0,760.0,738.0,738.0,15564.0
2024_09_21,NUBL,755.0,760.0,738.0,738.0,15564.0
2024_09_27,NUBL,699.0,709.0,684.0,688.0,11903.0
2024_09_28,NUBL,699.0,709.0,684.0,688.0,11903.0
2024_10_03,NUBL,733.0,733.0,705.6,710.0,12132.0
2024_10_04,NUBL,733.0,733.0,705.6,710.0,12132.0
2024_10_05,NUBL,733.0,733.0,705.6,710.0,12132.0
2024_10_10,NUBL,738.9,738.9,722.1,729.0,10230.0
2024_10_11,NUBL,738.9,738.9,722.1,729.0,10230.0
2024_10_12,NUBL,738.9,738.9,722.1,729.0,10230.0
2024_10_13,NUBL,738.9,738.9,722.1,729.0,10230.0
2024_10_14,NUBL,738.9,738.9,722.1,729.0,10230.0
2024_10_18,NUBL,750.0,762.0,741.0,753.0,13356.0
2024_10_19,NUBL,750.0,762.0,741.0,753.0,13356.0
2024_10_25,NUBL,721.3,722.3,710.6,716.0,7713.0
2024_10_26,NUBL,721.3,722.3,710.6,716.0,7713.0
2024_10_31,NUBL,747.6,749.0,718.1,718.1,7836.0
2024_11_01,NUBL,747.6,749.0,718.1,718.1,7836.0
2024_11_02,NUBL,747.6,749.0,718.1,718.1,7836.0
2024_11_03,NUBL,747.6,749.0,718.1,718.1,7836.0
2024_11_04,NUBL,747.6,749.0,718.1,718.1,7836.0
2024_11_07,NUBL,733.9,733.9,715.4,725.0,9009.0
2024_11_08,NUBL,733.9,733.9,715.4,725.0,9009.0
2024_11_09,NUBL,733.9,733.9,715.4,725.0,9009.0
2024_11_15,NUBL,740.0,744.9,730.2,737.0,23067.0
2024_11_16,NUBL,740.0,744.9,730.2,737.0,23067.0
2024_11_18,NUBL,744.0,749.8,730.0,735.0,28457.0
