Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,PRIN,744.4,764.8,729.6,763.8,10489.0
2024_03_09,PRIN,744.4,764.8,729.6,763.8,10489.0
2024_03_11,PRIN,775.0,784.0,765.0,771.0,10594.0
2024_03_15,PRIN,782.5,797.0,780.2,780.2,12273.0
2024_03_16,PRIN,782.5,797.0,780.2,780.2,12273.0
2024_03_22,PRIN,785.0,785.0,770.0,770.0,5570.0
2024_03_23,PRIN,785.0,785.0,770.0,770.0,5570.0
2024_03_24,PRIN,785.0,785.0,770.0,770.0,5570.0
2024_03_29,PRIN,755.0,775.0,755.0,765.0,7310.0
2024_03_30,PRIN,755.0,775.0,755.0,765.0,7310.0
2024_04_05,PRIN,762.0,788.2,762.0,781.9,12913.0
2024_04_06,PRIN,762.0,788.2,762.0,781.9,12913.0
2024_04_08,PRIN,775.1,800.0,772.3,799.8,10996.0
2024_04_11,PRIN,790.0,805.0,780.0,795.0,11263.0
2024_04_12,PRIN,790.0,805.0,780.0,795.0,11263.0
2024_04_13,PRIN,790.0,805.0,780.0,795.0,11263.0
2024_04_17,PRIN,762.0,775.0,761.1,772.0,4895.0
2024_04_19,PRIN,772.0,773.0,765.1,772.5,9263.0
2024_04_20,PRIN,772.0,773.0,765.1,772.5,9263.0
2024_04_23,PRIN,785.0,795.0,765.0,769.0,6195.0
2024_04_26,PRIN,785.0,798.0,755.3,766.0,2627.0
2024_04_27,PRIN,785.0,798.0,755.3,766.0,2627.0
2024_05_01,PRIN,773.0,804.3,771.4,794.7,31621.0
2024_05_03,PRIN,810.5,812.0,790.0,790.0,15371.0
2024_05_04,PRIN,810.5,812.0,790.0,790.0,15371.0
2024_05_10,PRIN,780.0,785.0,764.0,775.2,7595.0
2024_05_11,PRIN,780.0,785.0,764.0,775.2,7595.0
2024_05_17,PRIN,788.9,789.0,767.2,767.2,5952.0
2024_05_18,PRIN,788.9,789.0,767.2,767.2,5952.0
2024_05_23,PRIN,799.1,807.0,793.1,795.0,7962.0
2024_05_24,PRIN,799.1,807.0,793.1,795.0,7962.0
2024_05_25,PRIN,799.1,807.0,793.1,795.0,7962.0
2024_05_28,PRIN,780.0,804.6,775.0,775.0,9374.0
2024_05_31,PRIN,785.0,794.8,772.0,772.1,7386.0
2024_06_01,PRIN,785.0,794.8,772.0,772.1,7386.0
2024_06_07,PRIN,770.0,770.0,764.0,765.0,6085.0
2024_06_08,PRIN,770.0,770.0,764.0,765.0,6085.0
2024_06_14,PRIN,786.9,803.0,783.1,783.1,11538.0
2024_06_15,PRIN,786.9,803.0,783.1,783.1,11538.0
2024_06_17,PRIN,781.1,794.0,770.0,771.8,13115.0
2024_06_21,PRIN,770.0,779.0,768.0,769.0,3628.0
2024_06_22,PRIN,770.0,779.0,768.0,769.0,3628.0
2024_06_28,PRIN,762.1,776.0,761.0,764.0,2413.0
2024_06_29,PRIN,762.1,776.0,761.0,764.0,2413.0
2024_07_05,PRIN,810.0,821.0,794.0,815.0,28322.0
2024_07_06,PRIN,810.0,821.0,794.0,815.0,28322.0
2024_07_12,PRIN,830.0,839.0,826.2,827.1,32871.0
2024_07_13,PRIN,830.0,839.0,826.2,827.1,32871.0
2024_07_19,PRIN,879.0,895.0,865.2,883.9,45333.0
2024_07_20,PRIN,879.0,895.0,865.2,883.9,45333.0
2024_07_26,PRIN,890.0,925.0,881.0,920.0,75020.0
2024_07_27,PRIN,890.0,925.0,881.0,920.0,75020.0
2024_08_02,PRIN,970.0,1020.0,956.0,1010.0,143170.0
