Date,Symbol,Open,High,Low,Close,Volume
2024_03_21,PRVUPO,102.0,102.0,102.0,102.0,294875.0
2024_03_22,PRVUPO,102.0,102.0,102.0,102.0,294875.0
2024_03_23,PRVUPO,102.0,102.0,102.0,102.0,294875.0
2024_03_24,PRVUPO,102.0,102.0,102.0,102.0,294875.0
2024_03_31,PRVUPO,102.0,102.0,102.0,102.0,25830.0
2024_04_03,PRVUPO,102.0,102.0,102.0,102.0,241674.0
2024_04_16,PRVUPO,102.0,102.0,102.0,102.0,1000.0
2024_04_17,PRVUPO,102.0,102.0,102.0,102.0,1000.0
2024_04_18,PRVUPO,102.0,102.0,102.0,102.0,1000.0
2024_04_19,PRVUPO,102.0,102.0,102.0,102.0,1000.0
2024_04_20,PRVUPO,102.0,102.0,102.0,102.0,1000.0
2024_04_22,PRVUPO,102.0,102.0,102.0,102.0,50792.0
2024_04_23,PRVUPO,102.0,102.0,102.0,102.0,50792.0
2024_04_24,PRVUPO,102.0,102.0,102.0,102.0,1000.0
2024_04_25,PRVUPO,102.0,102.0,102.0,102.0,35846.0
2024_04_26,PRVUPO,102.0,102.0,102.0,102.0,35846.0
2024_04_27,PRVUPO,102.0,102.0,102.0,102.0,35846.0
2024_05_02,PRVUPO,102.0,102.0,102.0,102.0,89415.0
2024_05_03,PRVUPO,102.0,102.0,102.0,102.0,89415.0
2024_05_04,PRVUPO,102.0,102.0,102.0,102.0,89415.0
2024_05_05,PRVUPO,100.0,100.0,100.0,100.0,51088.0
2024_05_07,PRVUPO,100.0,100.0,100.0,100.0,8500.0
2024_05_12,PRVUPO,100.0,100.0,100.0,100.0,84882.0
2024_07_15,PRVUPO,100.0,100.0,100.0,100.0,133887.0
2024_08_21,PRVUPO,100.0,100.0,100.0,100.0,200.0
2024_11_10,PRVUPO,119.0,119.0,119.0,119.0,100.0
2024_11_28,PRVUPO,121.6,121.6,121.6,121.6,24703.0
2024_11_29,PRVUPO,121.6,121.6,121.6,121.6,24703.0
2024_11_30,PRVUPO,121.6,121.6,121.6,121.6,24703.0
2024_12_01,PRVUPO,121.6,121.6,121.6,121.6,107220.0
2024_12_03,PRVUPO,121.6,121.6,120.0,120.0,50962.0
2025_02_02,PRVUPO,120.0,120.0,120.0,120.0,16706.0
2025_02_16,PRVUPO,120.0,120.0,120.0,120.0,113435.0
2025_02_27,PRVUPO,117.6,117.6,117.6,117.6,69000.0
2025_02_28,PRVUPO,117.6,117.6,117.6,117.6,69000.0
2025_03_01,PRVUPO,117.6,117.6,117.6,117.6,69000.0
2025_03_02,PRVUPO,115.3,115.3,115.3,115.3,137000.0
2025_03_03,PRVUPO,113.0,113.0,113.0,113.0,9571.0
2025_03_06,PRVUPO,110.8,110.8,110.8,110.8,137000.0
2025_03_07,PRVUPO,110.8,110.8,110.8,110.8,137000.0
2025_03_08,PRVUPO,110.8,110.8,110.8,110.8,137000.0
2025_03_30,PRVUPO,108.6,108.6,108.6,108.6,10000.0
2025_03_31,PRVUPO,108.6,108.6,108.6,108.6,10000.0
2025_04_07,PRVUPO,108.6,108.6,108.6,108.6,35721.0
2025_04_09,PRVUPO,110.0,110.0,110.0,110.0,86466.0
2025_04_13,PRVUPO,110.0,110.0,110.0,110.0,39407.0
2025_04_14,PRVUPO,110.0,110.0,110.0,110.0,39407.0
2025_04_15,PRVUPO,110.0,110.0,110.0,110.0,25069.0
2025_04_16,PRVUPO,110.0,110.0,110.0,110.0,26565.0
2025_04_20,PRVUPO,110.0,110.0,110.0,110.0,12389.0
2025_05_15,PRVUPO,110.0,110.0,110.0,110.0,8532.0
2025_05_16,PRVUPO,110.0,110.0,110.0,110.0,8532.0
2025_05_17,PRVUPO,110.0,110.0,110.0,110.0,8532.0
2025_05_18,PRVUPO,110.0,110.0,110.0,110.0,62152.0
2025_05_19,PRVUPO,110.0,110.0,110.0,110.0,43235.0
2025_06_05,PRVUPO,110.0,110.0,110.0,110.0,16247.0
2025_06_06,PRVUPO,110.0,110.0,110.0,110.0,16247.0
2025_06_07,PRVUPO,110.0,110.0,110.0,110.0,16247.0
2025_06_12,PRVUPO,110.0,110.0,110.0,110.0,1000.0
2025_06_13,PRVUPO,110.0,110.0,110.0,110.0,1000.0
2025_06_14,PRVUPO,110.0,110.0,110.0,110.0,1000.0
2025_06_17,PRVUPO,110.0,110.0,110.0,110.0,24000.0
2025_07_06,PRVUPO,110.0,110.0,110.0,110.0,23501.0
2025_07_27,PRVUPO,110.0,110.0,110.0,110.0,409181.0
2025_07_30,PRVUPO,107.8,107.8,107.8,107.8,9882.0
2025_07_31,PRVUPO,105.7,105.7,103.6,103.6,1940422.0
2025_08_01,PRVUPO,105.7,105.7,103.6,103.6,1940422.0
2025_08_02,PRVUPO,105.7,105.7,103.6,103.6,1940422.0
2025_08_05,PRVUPO,105.0,105.0,105.0,105.0,39415.0
2025_08_12,PRVUPO,105.0,105.0,105.0,105.0,4000.0
2025_08_14,PRVUPO,105.0,105.0,105.0,105.0,51879.0
2025_08_15,PRVUPO,105.0,105.0,105.0,105.0,51879.0
2025_08_16,PRVUPO,105.0,105.0,105.0,105.0,51879.0
2025_09_23,PRVUPO,102.9,102.9,102.9,102.9,3378.0
2025_09_24,PRVUPO,100.9,100.9,100.9,100.9,521868.0
2025_09_25,PRVUPO,100.9,100.9,100.9,100.9,5152.0
2025_09_26,PRVUPO,100.9,100.9,100.9,100.9,5152.0
2025_09_27,PRVUPO,100.9,100.9,100.9,100.9,5152.0
