Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,RNLI,431.0,442.0,431.0,437.1,24279.0
2024_03_09,RNLI,431.0,442.0,431.0,437.1,24279.0
2024_03_11,RNLI,438.0,448.1,438.0,444.5,31290.0
2024_03_15,RNLI,475.0,475.0,455.1,458.9,33317.0
2024_03_16,RNLI,475.0,475.0,455.1,458.9,33317.0
2024_03_22,RNLI,440.6,447.0,437.0,437.6,36131.0
2024_03_23,RNLI,440.6,447.0,437.0,437.6,36131.0
2024_03_24,RNLI,440.6,447.0,437.0,437.6,36131.0
2024_03_29,RNLI,437.5,443.5,431.1,439.0,23561.0
2024_03_30,RNLI,437.5,443.5,431.1,439.0,23561.0
2024_04_05,RNLI,433.0,439.5,430.0,431.1,36531.0
2024_04_06,RNLI,433.0,439.5,430.0,431.1,36531.0
2024_04_08,RNLI,422.5,442.0,422.5,442.0,52195.0
2024_04_11,RNLI,437.0,444.0,429.0,434.6,48902.0
2024_04_12,RNLI,437.0,444.0,429.0,434.6,48902.0
2024_04_13,RNLI,437.0,444.0,429.0,434.6,48902.0
2024_04_17,RNLI,427.1,430.0,425.1,426.0,22954.0
2024_04_19,RNLI,423.0,426.8,420.0,421.0,24011.0
2024_04_20,RNLI,423.0,426.8,420.0,421.0,24011.0
2024_04_23,RNLI,437.9,437.9,421.5,421.8,24994.0
2024_04_26,RNLI,421.1,427.0,421.0,423.0,21457.0
2024_04_27,RNLI,421.1,427.0,421.0,423.0,21457.0
2024_05_01,RNLI,421.0,440.0,421.0,433.9,37022.0
2024_05_03,RNLI,442.5,448.0,433.0,433.0,62417.0
2024_05_04,RNLI,442.5,448.0,433.0,433.0,62417.0
2024_05_10,RNLI,428.0,428.0,418.0,421.0,31430.0
2024_05_11,RNLI,428.0,428.0,418.0,421.0,31430.0
2024_05_17,RNLI,423.4,430.0,423.4,428.9,25913.0
2024_05_18,RNLI,423.4,430.0,423.4,428.9,25913.0
2024_05_23,RNLI,440.0,448.8,440.0,442.6,52775.0
2024_05_24,RNLI,440.0,448.8,440.0,442.6,52775.0
2024_05_25,RNLI,440.0,448.8,440.0,442.6,52775.0
2024_05_28,RNLI,435.0,442.0,433.0,437.8,25304.0
2024_05_31,RNLI,430.0,432.0,425.2,426.3,23961.0
2024_06_01,RNLI,430.0,432.0,425.2,426.3,23961.0
2024_06_07,RNLI,425.0,431.0,424.5,425.0,33192.0
2024_06_08,RNLI,425.0,431.0,424.5,425.0,33192.0
2024_06_14,RNLI,442.6,442.6,429.2,431.6,27863.0
2024_06_15,RNLI,442.6,442.6,429.2,431.6,27863.0
2024_06_17,RNLI,431.6,434.9,427.5,428.0,40074.0
2024_06_21,RNLI,425.4,428.0,423.1,423.1,22044.0
2024_06_22,RNLI,425.4,428.0,423.1,423.1,22044.0
2024_06_28,RNLI,415.1,423.0,415.1,418.5,21651.0
2024_06_29,RNLI,415.1,423.0,415.1,418.5,21651.0
2024_07_05,RNLI,426.2,441.0,426.2,437.0,75225.0
2024_07_06,RNLI,426.2,441.0,426.2,437.0,75225.0
2024_07_12,RNLI,459.0,466.0,456.0,463.0,77138.0
2024_07_13,RNLI,459.0,466.0,456.0,463.0,77138.0
