Date,Symbol,Open,High,Low,Close,Volume
2024_03_05,SBD87,904.0,904.0,902.1,902.1,265.0
2024_03_13,SBD87,903.1,903.1,903.1,903.1,50.0
2024_03_14,SBD87,915.0,921.0,915.0,921.0,60.0
2024_03_15,SBD87,915.0,921.0,915.0,921.0,60.0
2024_03_16,SBD87,915.0,921.0,915.0,921.0,60.0
2024_03_18,SBD87,902.7,902.7,902.6,902.6,40.0
2024_03_19,SBD87,905.0,905.0,905.0,905.0,30.0
2024_03_21,SBD87,902.1,902.1,902.1,902.1,30.0
2024_03_22,SBD87,902.1,902.1,902.1,902.1,30.0
2024_03_23,SBD87,902.1,902.1,902.1,902.1,30.0
2024_03_24,SBD87,902.1,902.1,902.1,902.1,30.0
2024_03_26,SBD87,920.0,920.0,920.0,920.0,25.0
2024_04_01,SBD87,935.0,935.0,935.0,935.0,175.0
2024_04_03,SBD87,948.0,972.7,948.0,972.7,210.0
2024_04_07,SBD87,990.0,1002.0,990.0,990.0,2770.0
2024_04_08,SBD87,990.0,1002.0,990.0,990.0,2770.0
2024_04_10,SBD87,975.0,975.0,975.0,975.0,175.0
2024_04_11,SBD87,975.0,975.0,975.0,975.0,175.0
2024_04_12,SBD87,975.0,975.0,975.0,975.0,175.0
2024_04_13,SBD87,975.0,975.0,975.0,975.0,175.0
2024_04_14,SBD87,994.5,994.5,994.5,994.5,20.0
2024_04_16,SBD87,999.9,1000.0,980.0,980.0,600.0
2024_04_17,SBD87,999.9,1000.0,980.0,980.0,600.0
2024_04_18,SBD87,990.0,990.0,990.0,990.0,100.0
2024_04_19,SBD87,990.0,990.0,990.0,990.0,100.0
2024_04_20,SBD87,990.0,990.0,990.0,990.0,100.0
2024_04_21,SBD87,980.0,990.0,980.0,988.0,335.0
2024_04_22,SBD87,1000.0,1000.0,1000.0,1000.0,292.0
2024_04_23,SBD87,1000.0,1000.0,1000.0,1000.0,292.0
2024_04_24,SBD87,989.0,990.0,989.0,990.0,51.0
2024_04_29,SBD87,1000.0,1009.8,1000.0,1000.0,411.0
2024_04_30,SBD87,1000.0,1000.0,1000.0,1000.0,40.0
2024_05_01,SBD87,1000.0,1000.0,1000.0,1000.0,40.0
2024_05_02,SBD87,985.0,985.0,985.0,985.0,25.0
2024_05_03,SBD87,985.0,985.0,985.0,985.0,25.0
2024_05_04,SBD87,985.0,985.0,985.0,985.0,25.0
2024_05_05,SBD87,980.1,980.1,980.1,980.1,25.0
2024_05_14,SBD87,994.0,998.0,994.0,998.0,35.0
2024_05_15,SBD87,990.0,990.0,990.0,990.0,25.0
2024_05_19,SBD87,984.1,1000.0,984.1,1000.0,235.0
2024_05_20,SBD87,995.0,995.0,995.0,995.0,60.0
2024_05_22,SBD87,976.0,976.0,976.0,976.0,25.0
2024_05_23,SBD87,976.0,976.0,976.0,976.0,25.0
2024_05_24,SBD87,976.0,976.0,976.0,976.0,25.0
2024_05_25,SBD87,976.0,976.0,976.0,976.0,25.0
2024_05_26,SBD87,990.0,990.0,990.0,990.0,30.0
2024_05_29,SBD87,972.1,991.5,972.1,991.5,75.0
2024_05_30,SBD87,973.2,975.0,973.2,975.0,75.0
2024_05_31,SBD87,973.2,975.0,973.2,975.0,75.0
2024_06_01,SBD87,973.2,975.0,973.2,975.0,75.0
2024_06_02,SBD87,980.1,985.0,980.1,985.0,35.0
2024_06_03,SBD87,975.0,975.0,975.0,975.0,25.0
2024_06_04,SBD87,975.0,975.0,975.0,975.0,50.0
2024_06_05,SBD87,980.0,980.0,980.0,980.0,70.0
2024_06_06,SBD87,981.0,981.0,981.0,981.0,25.0
2024_06_07,SBD87,981.0,981.0,981.0,981.0,25.0
2024_06_08,SBD87,981.0,981.0,981.0,981.0,25.0
2024_06_09,SBD87,981.0,990.0,981.0,990.0,85.0
2024_06_10,SBD87,975.0,975.0,975.0,975.0,25.0
2024_06_11,SBD87,980.0,980.0,980.0,980.0,30.0
2024_06_12,SBD87,991.0,991.0,991.0,991.0,25.0
2024_06_13,SBD87,971.4,971.4,971.2,971.2,150.0
2024_06_14,SBD87,971.4,971.4,971.2,971.2,150.0
2024_06_15,SBD87,971.4,971.4,971.2,971.2,150.0
2024_06_23,SBD87,990.0,990.0,990.0,990.0,36.0
2024_06_27,SBD87,995.0,1008.0,995.0,1008.0,225.0
2024_06_28,SBD87,995.0,1008.0,995.0,1008.0,225.0
2024_06_29,SBD87,995.0,1008.0,995.0,1008.0,225.0
2024_07_01,SBD87,988.0,988.0,988.0,988.0,50.0
2024_07_09,SBD87,1007.0,1007.0,976.0,976.0,55.0
2024_07_11,SBD87,995.0,995.0,995.0,995.0,50.0
2024_07_12,SBD87,995.0,995.0,995.0,995.0,50.0
2024_07_13,SBD87,995.0,995.0,995.0,995.0,50.0
2024_07_15,SBD87,1014.0,1018.0,1010.0,1018.0,448.0
2024_07_16,SBD87,997.7,997.7,997.7,997.7,210.0
2024_07_22,SBD87,977.8,977.8,977.8,977.8,25.0
2024_07_25,SBD87,961.0,961.0,961.0,961.0,50.0
2024_07_26,SBD87,961.0,961.0,961.0,961.0,50.0
2024_07_27,SBD87,961.0,961.0,961.0,961.0,50.0
2024_07_29,SBD87,960.1,960.1,941.0,941.0,50.0
2024_07_30,SBD87,941.0,941.0,941.0,941.0,25.0
2024_07_31,SBD87,940.1,942.0,940.0,942.0,155.0
2024_08_01,SBD87,960.0,960.0,960.0,960.0,25.0
2024_08_02,SBD87,960.0,960.0,960.0,960.0,25.0
2024_08_03,SBD87,960.0,960.0,960.0,960.0,25.0
2024_08_04,SBD87,960.0,960.0,960.0,960.0,25.0
2024_08_05,SBD87,970.0,1000.0,970.0,998.7,505.0
2024_08_06,SBD87,1000.0,1003.0,1000.0,1003.0,100.0
2024_08_07,SBD87,1003.0,1018.0,999.0,999.0,2375.0
2024_08_08,SBD87,1010.0,1010.0,995.0,996.1,3015.0
2024_08_09,SBD87,1010.0,1010.0,995.0,996.1,3015.0
2024_08_10,SBD87,1010.0,1010.0,995.0,996.1,3015.0
2024_08_11,SBD87,997.0,998.0,997.0,998.0,530.0
2024_08_12,SBD87,1000.0,1000.0,1000.0,1000.0,245.0
2024_08_13,SBD87,1000.0,1000.0,1000.0,1000.0,210.0
2024_08_14,SBD87,1000.0,1000.0,999.0,999.0,180.0
2024_08_15,SBD87,999.0,1000.0,999.0,1000.0,395.0
2024_08_16,SBD87,999.0,1000.0,999.0,1000.0,395.0
2024_08_17,SBD87,999.0,1000.0,999.0,1000.0,395.0
2024_08_18,SBD87,1000.0,1000.0,1000.0,1000.0,25.0
2024_08_19,SBD87,1000.0,1000.0,1000.0,1000.0,25.0
2024_08_20,SBD87,1000.0,1000.0,1000.0,1000.0,25.0
2024_08_21,SBD87,999.0,1000.0,999.0,1000.0,455.0
2024_08_22,SBD87,1000.0,1000.0,1000.0,1000.0,30.0
2024_08_23,SBD87,1000.0,1000.0,1000.0,1000.0,30.0
2024_08_24,SBD87,1000.0,1000.0,1000.0,1000.0,30.0
2024_08_25,SBD87,999.0,999.0,999.0,999.0,400.0
2024_08_26,SBD87,999.0,999.0,999.0,999.0,400.0
2024_08_28,SBD87,1001.0,1001.0,1001.0,1001.0,50.0
