Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,SCB,519.0,528.0,518.0,521.0,4949.0
2024_03_09,SCB,519.0,528.0,518.0,521.0,4949.0
2024_03_11,SCB,528.5,529.0,518.5,521.3,5082.0
2024_03_15,SCB,531.0,539.0,522.0,526.0,7900.0
2024_03_16,SCB,531.0,539.0,522.0,526.0,7900.0
2024_03_22,SCB,521.0,526.0,520.0,520.0,6389.0
2024_03_23,SCB,521.0,526.0,520.0,520.0,6389.0
2024_03_24,SCB,521.0,526.0,520.0,520.0,6389.0
2024_03_29,SCB,515.1,524.0,515.1,519.0,16744.0
2024_03_30,SCB,515.1,524.0,515.1,519.0,16744.0
2024_04_05,SCB,511.2,523.8,511.2,514.9,9348.0
2024_04_06,SCB,511.2,523.8,511.2,514.9,9348.0
2024_04_08,SCB,514.9,519.0,510.0,515.2,8105.0
2024_04_11,SCB,530.1,530.1,517.0,524.9,6900.0
2024_04_12,SCB,530.1,530.1,517.0,524.9,6900.0
2024_04_13,SCB,530.1,530.1,517.0,524.9,6900.0
2024_04_17,SCB,516.0,522.0,516.0,518.4,5844.0
2024_04_19,SCB,518.0,519.0,515.0,515.9,7793.0
2024_04_20,SCB,518.0,519.0,515.0,515.9,7793.0
2024_04_23,SCB,517.0,524.0,515.0,518.0,11787.0
2024_04_26,SCB,514.0,524.9,514.0,517.0,5327.0
2024_04_27,SCB,514.0,524.9,514.0,517.0,5327.0
2024_05_01,SCB,534.4,534.4,517.1,522.3,10327.0
2024_05_03,SCB,532.7,532.7,516.1,521.0,9683.0
2024_05_04,SCB,532.7,532.7,516.1,521.0,9683.0
2024_05_10,SCB,523.0,523.0,512.0,515.0,9670.0
2024_05_11,SCB,523.0,523.0,512.0,515.0,9670.0
2024_05_17,SCB,535.0,554.0,535.0,547.9,33420.0
2024_05_18,SCB,535.0,554.0,535.0,547.9,33420.0
2024_05_23,SCB,574.0,607.9,574.0,598.0,138782.0
2024_05_24,SCB,574.0,607.9,574.0,598.0,138782.0
2024_05_25,SCB,574.0,607.9,574.0,598.0,138782.0
2024_05_28,SCB,595.0,595.0,580.0,587.9,34144.0
2024_05_31,SCB,566.0,582.0,560.0,565.0,44008.0
2024_06_01,SCB,566.0,582.0,560.0,565.0,44008.0
2024_06_07,SCB,558.2,569.8,558.0,560.4,21686.0
2024_06_08,SCB,558.2,569.8,558.0,560.4,21686.0
2024_06_14,SCB,569.5,569.5,558.0,562.0,18340.0
2024_06_15,SCB,569.5,569.5,558.0,562.0,18340.0
2024_06_17,SCB,562.0,565.0,560.1,562.0,6515.0
2024_06_21,SCB,576.1,576.1,560.0,564.0,6725.0
2024_06_22,SCB,576.1,576.1,560.0,564.0,6725.0
2024_06_28,SCB,555.0,560.9,555.0,560.0,18136.0
2024_06_29,SCB,555.0,560.9,555.0,560.0,18136.0
2024_07_05,SCB,582.0,585.0,576.0,584.0,20747.0
2024_07_06,SCB,582.0,585.0,576.0,584.0,20747.0
2024_07_12,SCB,590.0,595.0,584.3,588.0,44142.0
2024_07_13,SCB,590.0,595.0,584.3,588.0,44142.0
2024_07_19,SCB,641.5,672.0,638.0,660.0,114822.0
2024_07_20,SCB,641.5,672.0,638.0,660.0,114822.0
2024_07_26,SCB,656.9,665.0,638.0,663.0,124380.0
2024_07_27,SCB,656.9,665.0,638.0,663.0,124380.0
2024_08_02,SCB,688.0,701.0,686.2,692.0,85954.0
2024_08_03,SCB,688.0,701.0,686.2,692.0,85954.0
2024_08_04,SCB,688.0,701.0,686.2,692.0,85954.0
2024_08_09,SCB,705.1,705.1,690.0,699.0,116445.0
2024_08_10,SCB,705.1,705.1,690.0,699.0,116445.0
2024_08_16,SCB,717.8,720.0,704.0,714.0,169191.0
2024_08_17,SCB,717.8,720.0,704.0,714.0,169191.0
2024_08_19,SCB,725.0,731.0,715.3,720.7,180607.0
2024_08_20,SCB,725.0,731.0,715.3,720.7,180607.0
2024_08_23,SCB,759.9,790.0,759.9,764.0,95983.0
2024_08_24,SCB,759.9,790.0,759.9,764.0,95983.0
2024_08_26,SCB,770.0,770.0,736.0,737.3,116510.0
2024_08_30,SCB,721.0,731.0,710.0,712.0,61660.0
2024_08_31,SCB,721.0,731.0,710.0,712.0,61660.0
2024_09_06,SCB,702.7,710.0,695.9,698.0,46719.0
2024_09_07,SCB,702.7,710.0,695.9,698.0,46719.0
2024_09_13,SCB,685.0,685.0,672.0,683.8,29278.0
2024_09_14,SCB,685.0,685.0,672.0,683.8,29278.0
2024_09_17,SCB,675.0,679.0,672.2,673.0,17727.0
2024_09_19,SCB,672.0,685.0,661.0,680.0,43154.0
2024_09_20,SCB,672.0,685.0,661.0,680.0,43154.0
2024_09_21,SCB,672.0,685.0,661.0,680.0,43154.0
2024_09_27,SCB,698.0,698.6,671.5,680.0,35791.0
2024_09_28,SCB,698.0,698.6,671.5,680.0,35791.0
2024_10_03,SCB,700.0,703.8,683.4,688.0,23208.0
2024_10_04,SCB,700.0,703.8,683.4,688.0,23208.0
2024_10_05,SCB,700.0,703.8,683.4,688.0,23208.0
2024_10_10,SCB,706.9,706.9,691.2,700.0,28344.0
2024_10_11,SCB,706.9,706.9,691.2,700.0,28344.0
2024_10_12,SCB,706.9,706.9,691.2,700.0,28344.0
2024_10_13,SCB,706.9,706.9,691.2,700.0,28344.0
2024_10_14,SCB,706.9,706.9,691.2,700.0,28344.0
2024_10_18,SCB,710.0,715.0,707.0,710.0,22079.0
2024_10_19,SCB,710.0,715.0,707.0,710.0,22079.0
2024_10_25,SCB,704.0,704.0,691.0,692.0,10568.0
2024_10_26,SCB,704.0,704.0,691.0,692.0,10568.0
2024_10_31,SCB,712.9,765.0,712.9,738.5,213474.0
2024_11_01,SCB,712.9,765.0,712.9,738.5,213474.0
2024_11_02,SCB,712.9,765.0,712.9,738.5,213474.0
2024_11_03,SCB,712.9,765.0,712.9,738.5,213474.0
2024_11_04,SCB,712.9,765.0,712.9,738.5,213474.0
2024_11_07,SCB,736.0,741.3,734.0,741.0,42928.0
2024_11_08,SCB,736.0,741.3,734.0,741.0,42928.0
2024_11_09,SCB,736.0,741.3,734.0,741.0,42928.0
2024_11_15,SCB,750.6,753.0,748.0,750.0,50746.0
2024_11_16,SCB,750.6,753.0,748.0,750.0,50746.0
2024_11_18,SCB,765.0,765.0,746.1,746.3,38390.0
2024_11_22,SCB,751.5,768.0,751.5,760.0,48261.0
2024_11_23,SCB,751.5,768.0,751.5,760.0,48261.0
2024_11_29,SCB,685.0,696.0,681.0,682.0,68389.0
2024_11_30,SCB,685.0,696.0,681.0,682.0,68389.0
2024_12_06,SCB,654.0,658.9,650.0,650.5,34860.0
2024_12_07,SCB,654.0,658.9,650.0,650.5,34860.0
2024_12_13,SCB,705.8,705.8,672.0,674.0,40840.0
2024_12_14,SCB,705.8,705.8,672.0,674.0,40840.0
2024_12_15,SCB,705.8,705.8,672.0,674.0,40840.0
2024_12_20,SCB,666.0,673.0,662.0,667.0,27177.0
2024_12_21,SCB,666.0,673.0,662.0,667.0,27177.0
2024_12_25,SCB,665.0,675.0,660.0,666.0,11079.0
2024_12_27,SCB,666.0,680.0,662.0,673.9,23840.0
2024_12_28,SCB,666.0,680.0,662.0,673.9,23840.0
2024_12_30,SCB,675.0,675.0,670.0,672.0,10541.0
2025_01_03,SCB,666.0,674.0,666.0,671.0,12591.0
2025_01_04,SCB,666.0,674.0,666.0,671.0,12591.0
2025_01_10,SCB,681.1,688.0,676.1,677.0,17610.0
2025_01_11,SCB,681.1,688.0,676.1,677.0,17610.0
2025_01_14,SCB,675.0,675.0,667.2,670.3,7827.0
2025_01_17,SCB,667.0,672.0,666.7,667.5,11342.0
2025_01_18,SCB,667.0,672.0,666.7,667.5,11342.0
2025_01_24,SCB,694.0,694.0,675.0,675.0,14420.0
2025_01_25,SCB,694.0,694.0,675.0,675.0,14420.0
2025_01_29,SCB,667.1,680.0,667.1,670.0,18528.0
2025_01_30,SCB,667.1,680.0,667.1,670.0,18528.0
2025_01_31,SCB,667.1,680.0,667.1,670.0,18528.0
2025_02_01,SCB,667.1,680.0,667.1,670.0,18528.0
2025_02_07,SCB,688.0,688.0,678.0,678.2,12426.0
2025_02_08,SCB,688.0,688.0,678.0,678.2,12426.0
2025_02_14,SCB,672.0,672.0,654.6,658.0,41230.0
2025_02_15,SCB,672.0,672.0,654.6,658.0,41230.0
2025_02_19,SCB,669.0,671.0,663.1,666.6,46889.0
2025_02_21,SCB,654.0,668.0,654.0,666.1,32614.0
2025_02_22,SCB,654.0,668.0,654.0,666.1,32614.0
2025_02_26,SCB,675.0,675.0,659.1,663.9,41734.0
2025_02_28,SCB,677.1,689.0,670.0,672.3,34706.0
2025_03_01,SCB,677.1,689.0,670.0,672.3,34706.0
2025_03_07,SCB,660.0,665.9,655.0,662.0,37987.0
2025_03_08,SCB,660.0,665.9,655.0,662.0,37987.0
2025_03_13,SCB,659.0,660.0,655.2,657.1,12924.0
2025_03_14,SCB,659.0,660.0,655.2,657.1,12924.0
2025_03_15,SCB,659.0,660.0,655.2,657.1,12924.0
2025_03_21,SCB,646.1,650.0,640.0,641.41,27304.0
2025_03_22,SCB,646.1,650.0,640.0,641.41,27304.0
2025_03_28,SCB,642.0,642.0,625.1,630.41,30032.0
2025_03_29,SCB,642.0,642.0,625.1,630.41,30032.0
2025_03_31,SCB,639.0,639.9,633.0,634.4,23762.0
2025_04_04,SCB,643.0,643.0,630.2,635.7,18730.0
2025_04_05,SCB,643.0,643.0,630.2,635.7,18730.0
2025_04_06,SCB,643.0,643.0,630.2,635.7,18730.0
2025_04_11,SCB,640.0,643.0,630.0,631.09,29316.0
2025_04_12,SCB,640.0,643.0,630.0,631.09,29316.0
2025_04_14,SCB,632.0,635.0,628.0,629.46,12467.0
2025_04_18,SCB,642.0,642.0,630.1,635.87,20881.0
2025_04_19,SCB,642.0,642.0,630.1,635.87,20881.0
2025_04_25,SCB,615.0,624.0,612.0,617.21,18940.0
2025_04_26,SCB,615.0,624.0,612.0,617.21,18940.0
2025_05_01,SCB,608.36,612.0,600.0,601.42,26084.0
2025_05_02,SCB,608.36,612.0,600.0,601.42,26084.0
2025_05_03,SCB,608.36,612.0,600.0,601.42,26084.0
2025_05_09,SCB,602.0,610.9,602.0,607.56,13787.0
2025_05_10,SCB,602.0,610.9,602.0,607.56,13787.0
2025_05_12,SCB,607.0,609.0,603.1,605.59,8913.0
2025_05_16,SCB,603.0,607.0,600.0,602.7,13691.0
2025_05_17,SCB,603.0,607.0,600.0,602.7,13691.0
2025_05_23,SCB,618.0,626.0,608.0,623.7,29386.0
2025_05_24,SCB,618.0,626.0,608.0,623.7,29386.0
2025_05_29,SCB,637.0,637.0,621.3,628.67,13649.0
2025_05_30,SCB,637.0,637.0,621.3,628.67,13649.0
2025_05_31,SCB,637.0,637.0,621.3,628.67,13649.0
2025_06_01,SCB,637.0,637.0,621.3,628.67,13649.0
2025_06_06,SCB,630.0,630.0,608.1,609.19,19291.0
2025_06_07,SCB,630.0,630.0,608.1,609.19,19291.0
2025_06_13,SCB,625.0,625.0,609.0,609.44,14922.0
2025_06_14,SCB,625.0,625.0,609.0,609.44,14922.0
2025_06_20,SCB,610.0,614.9,610.0,612.88,12495.0
2025_06_21,SCB,610.0,614.9,610.0,612.88,12495.0
2025_06_27,SCB,610.0,615.0,610.0,612.87,8281.0
2025_06_28,SCB,610.0,615.0,610.0,612.87,8281.0
2025_07_04,SCB,620.5,674.0,620.5,643.1,37435.0
2025_07_05,SCB,620.5,674.0,620.5,643.1,37435.0
2025_07_11,SCB,643.0,657.0,643.0,655.57,56467.0
2025_07_12,SCB,643.0,657.0,643.0,655.57,56467.0
2025_07_18,SCB,661.0,670.3,650.1,668.39,54394.0
2025_07_19,SCB,661.0,670.3,650.1,668.39,54394.0
2025_07_25,SCB,668.1,672.0,665.0,670.91,24626.0
2025_07_26,SCB,668.1,672.0,665.0,670.91,24626.0
2025_08_01,SCB,660.0,660.0,650.2,650.71,29239.0
2025_08_02,SCB,660.0,660.0,650.2,650.71,29239.0
2025_08_08,SCB,646.3,647.0,638.3,643.93,13098.0
2025_08_09,SCB,646.3,647.0,638.3,643.93,13098.0
2025_08_10,SCB,646.3,647.0,638.3,643.93,13098.0
2025_08_15,SCB,639.0,640.0,635.0,637.46,12418.0
2025_08_16,SCB,639.0,640.0,635.0,637.46,12418.0
2025_08_22,SCB,629.0,629.0,624.0,626.12,12319.0
2025_08_23,SCB,629.0,629.0,624.0,626.12,12319.0
2025_08_29,SCB,623.0,634.7,623.0,630.26,13295.0
2025_08_30,SCB,623.0,634.7,623.0,630.26,13295.0
2025_09_05,SCB,650.0,659.9,642.0,651.75,24639.0
2025_09_06,SCB,650.0,659.9,642.0,651.75,24639.0
2025_09_09,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_10,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_11,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_12,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_13,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_14,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_15,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_16,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_17,SCB,630.1,640.0,630.0,631.7,12381.0
2025_09_19,SCB,619.1,619.1,605.0,607.0,2917.0
2025_09_20,SCB,619.1,619.1,605.0,607.0,2917.0
2025_09_21,SCB,594.9,627.0,594.9,618.27,74579.0
2025_09_22,SCB,594.9,627.0,594.9,618.27,74579.0
2025_09_23,SCB,629.5,635.0,620.1,634.0,16046.0
2025_09_24,SCB,634.0,638.9,625.8,632.0,15152.0
2025_09_25,SCB,628.5,633.0,620.0,624.1,28886.0
2025_09_26,SCB,628.5,633.0,620.0,624.1,28886.0
2025_09_27,SCB,628.5,633.0,620.0,624.1,28886.0
2025_09_28,SCB,636.0,636.0,626.0,630.0,5718.0
2025_09_29,SCB,636.0,636.0,626.0,630.0,5718.0
2025_09_30,SCB,636.0,636.0,626.0,630.0,5718.0
2025_10_01,SCB,636.0,636.0,626.0,630.0,5718.0
2025_10_02,SCB,636.0,636.0,626.0,630.0,5718.0
2025_10_03,SCB,636.0,636.0,626.0,630.0,5718.0
2025_10_04,SCB,636.0,636.0,626.0,630.0,5718.0
2025_10_05,SCB,636.0,636.0,626.0,630.0,5718.0
2025_10_06,SCB,636.0,636.0,626.0,630.0,5718.0
2025_10_07,SCB,639.5,639.5,618.3,625.0,43949.0
2025_10_08,SCB,620.0,623.0,610.0,620.0,19576.0
2025_10_09,SCB,632.4,647.0,625.3,625.3,30979.0
2025_10_10,SCB,632.4,647.0,625.3,625.3,30979.0
2025_10_11,SCB,632.4,647.0,625.3,625.3,30979.0
2025_10_12,SCB,616.1,628.0,609.0,617.0,40272.0
2025_10_13,SCB,629.3,629.3,610.0,615.3,20047.0
2025_10_14,SCB,625.0,625.0,612.5,614.2,9633.0
2025_10_15,SCB,625.8,625.8,610.1,615.0,15650.0
2025_10_16,SCB,625.0,625.0,603.0,613.0,24469.0
2025_10_17,SCB,625.0,625.0,603.0,613.0,24469.0
2025_10_18,SCB,625.0,625.0,603.0,613.0,24469.0
2025_10_19,SCB,615.0,635.5,614.0,629.0,89818.0
2025_10_20,SCB,615.0,635.5,614.0,629.0,89818.0
2025_10_21,SCB,615.0,635.5,614.0,629.0,89818.0
2025_10_22,SCB,615.0,635.5,614.0,629.0,89818.0
