Date,Symbol,Open,High,Low,Close,Volume
2024_03_05,SDLBSL,586.0,597.7,585.0,586.1,2126.0
2024_03_06,SDLBSL,592.0,613.0,576.0,587.0,879.0
2024_03_07,SDLBSL,598.7,610.6,595.0,610.0,1692.0
2024_03_08,SDLBSL,598.7,610.6,595.0,610.0,1692.0
2024_03_09,SDLBSL,598.7,610.6,595.0,610.0,1692.0
2024_03_10,SDLBSL,615.0,640.0,615.0,628.6,2953.0
2024_03_11,SDLBSL,615.0,640.0,615.0,628.6,2953.0
2024_03_12,SDLBSL,641.0,660.0,641.0,658.0,9745.0
2024_03_13,SDLBSL,670.0,670.0,651.8,660.0,1857.0
2024_03_14,SDLBSL,651.0,670.0,649.0,667.9,8056.0
2024_03_15,SDLBSL,651.0,670.0,649.0,667.9,8056.0
2024_03_16,SDLBSL,651.0,670.0,649.0,667.9,8056.0
2024_03_17,SDLBSL,667.8,668.0,655.0,655.0,2028.0
2024_03_18,SDLBSL,651.0,675.0,639.0,675.0,8321.0
2024_03_19,SDLBSL,677.0,708.9,677.0,704.1,6941.0
2024_03_20,SDLBSL,718.0,764.0,710.0,735.1,15470.0
2024_03_21,SDLBSL,720.4,757.0,711.0,726.0,5336.0
2024_03_22,SDLBSL,720.4,757.0,711.0,726.0,5336.0
2024_03_23,SDLBSL,720.4,757.0,711.0,726.0,5336.0
2024_03_24,SDLBSL,720.4,757.0,711.0,726.0,5336.0
2024_03_25,SDLBSL,716.0,723.0,700.0,700.0,2549.0
2024_03_26,SDLBSL,714.0,725.0,694.0,699.9,3138.0
2024_03_27,SDLBSL,713.8,728.0,686.5,699.9,1241.0
2024_03_28,SDLBSL,686.0,699.6,685.0,690.6,2681.0
2024_03_29,SDLBSL,686.0,699.6,685.0,690.6,2681.0
2024_03_30,SDLBSL,686.0,699.6,685.0,690.6,2681.0
2024_03_31,SDLBSL,687.7,693.0,677.7,684.0,3835.0
2024_04_01,SDLBSL,677.0,689.0,666.0,685.0,2872.0
2024_04_02,SDLBSL,673.0,714.0,673.0,691.2,3631.0
2024_04_03,SDLBSL,693.0,745.0,693.0,731.9,12463.0
2024_04_04,SDLBSL,735.0,771.0,735.0,764.9,14334.0
2024_04_05,SDLBSL,735.0,771.0,735.0,764.9,14334.0
2024_04_06,SDLBSL,735.0,771.0,735.0,764.9,14334.0
2024_04_07,SDLBSL,780.0,794.0,760.0,766.2,13271.0
2024_04_08,SDLBSL,780.0,794.0,760.0,766.2,13271.0
2024_04_09,SDLBSL,766.2,797.0,753.0,767.9,5020.0
2024_04_10,SDLBSL,758.0,768.0,735.0,735.0,4462.0
2024_04_11,SDLBSL,758.0,768.0,735.0,735.0,4462.0
2024_04_12,SDLBSL,758.0,768.0,735.0,735.0,4462.0
2024_04_13,SDLBSL,758.0,768.0,735.0,735.0,4462.0
2024_04_14,SDLBSL,745.0,774.0,732.4,765.0,4274.0
2024_04_15,SDLBSL,775.0,790.0,760.0,765.0,4003.0
2024_04_16,SDLBSL,751.0,755.0,737.0,744.9,3268.0
2024_04_17,SDLBSL,751.0,755.0,737.0,744.9,3268.0
2024_04_18,SDLBSL,745.0,745.0,712.2,722.0,1185.0
2024_04_19,SDLBSL,745.0,745.0,712.2,722.0,1185.0
2024_04_20,SDLBSL,745.0,745.0,712.2,722.0,1185.0
2024_04_21,SDLBSL,710.0,736.0,703.2,736.0,1155.0
2024_04_22,SDLBSL,725.0,730.0,711.2,713.0,1397.0
2024_04_23,SDLBSL,725.0,730.0,711.2,713.0,1397.0
2024_04_24,SDLBSL,707.0,753.0,699.0,717.1,2925.0
2024_04_25,SDLBSL,706.0,715.0,692.0,700.0,7212.0
2024_04_26,SDLBSL,706.0,715.0,692.0,700.0,7212.0
2024_04_27,SDLBSL,706.0,715.0,692.0,700.0,7212.0
2024_04_28,SDLBSL,687.0,714.0,687.0,703.0,4233.0
2024_04_29,SDLBSL,700.2,710.0,700.2,705.5,1167.0
2024_04_30,SDLBSL,718.0,734.4,705.1,730.0,3192.0
2024_05_01,SDLBSL,718.0,734.4,705.1,730.0,3192.0
2024_05_02,SDLBSL,742.0,803.0,742.0,803.0,29708.0
2024_05_03,SDLBSL,742.0,803.0,742.0,803.0,29708.0
2024_05_04,SDLBSL,742.0,803.0,742.0,803.0,29708.0
2024_05_05,SDLBSL,819.0,883.3,819.0,873.0,33395.0
2024_05_06,SDLBSL,865.0,883.0,840.0,847.0,26131.0
