Date,Symbol,Open,High,Low,Close,Volume
2024_03_05,SIGS3,9.18,9.18,9.18,9.18,1000.0
2024_03_14,SIGS3,9.0,9.0,8.85,8.85,4110.0
2024_03_15,SIGS3,9.0,9.0,8.85,8.85,4110.0
2024_03_16,SIGS3,9.0,9.0,8.85,8.85,4110.0
2024_03_18,SIGS3,8.68,9.04,8.68,9.04,47025.0
2024_03_20,SIGS3,8.86,8.86,8.17,8.31,3100.0
2024_03_21,SIGS3,8.31,8.33,8.31,8.33,800.0
2024_03_22,SIGS3,8.31,8.33,8.31,8.33,800.0
2024_03_23,SIGS3,8.31,8.33,8.31,8.33,800.0
2024_03_24,SIGS3,8.31,8.33,8.31,8.33,800.0
2024_03_25,SIGS3,8.32,8.34,8.32,8.32,1660.0
2024_03_26,SIGS3,8.32,8.32,8.32,8.32,900.0
2024_03_27,SIGS3,8.35,8.4,8.32,8.32,1200.0
2024_03_28,SIGS3,8.37,8.5,8.37,8.37,2200.0
2024_03_29,SIGS3,8.37,8.5,8.37,8.37,2200.0
2024_03_30,SIGS3,8.37,8.5,8.37,8.37,2200.0
2024_03_31,SIGS3,8.31,8.7,8.31,8.31,4300.0
2024_04_01,SIGS3,8.15,8.31,8.15,8.18,600.0
2024_04_02,SIGS3,8.1,8.18,8.06,8.18,1600.0
2024_04_03,SIGS3,8.02,8.1,8.02,8.1,2450.0
2024_04_04,SIGS3,8.0,8.37,8.0,8.37,600.0
2024_04_05,SIGS3,8.0,8.37,8.0,8.37,600.0
2024_04_06,SIGS3,8.0,8.37,8.0,8.37,600.0
2024_04_07,SIGS3,8.21,8.22,8.06,8.22,400.0
2024_04_08,SIGS3,8.21,8.22,8.06,8.22,400.0
2024_04_09,SIGS3,8.09,8.12,8.09,8.12,200.0
2024_04_10,SIGS3,8.1,8.64,7.99,8.64,3300.0
2024_04_11,SIGS3,8.1,8.64,7.99,8.64,3300.0
2024_04_12,SIGS3,8.1,8.64,7.99,8.64,3300.0
2024_04_13,SIGS3,8.1,8.64,7.99,8.64,3300.0
2024_04_14,SIGS3,8.48,8.48,8.47,8.47,700.0
2024_04_15,SIGS3,8.31,8.47,8.31,8.47,500.0
2024_04_16,SIGS3,8.31,8.47,8.31,8.47,1000.0
2024_04_17,SIGS3,8.31,8.47,8.31,8.47,1000.0
2024_04_18,SIGS3,8.63,8.63,8.46,8.46,1050.0
2024_04_19,SIGS3,8.63,8.63,8.46,8.46,1050.0
2024_04_20,SIGS3,8.63,8.63,8.46,8.46,1050.0
2024_04_21,SIGS3,8.4,8.4,8.24,8.24,600.0
2024_04_22,SIGS3,8.24,8.24,8.08,8.08,400.0
2024_04_23,SIGS3,8.24,8.24,8.08,8.08,400.0
2024_04_24,SIGS3,8.0,8.02,8.0,8.02,1400.0
2024_04_25,SIGS3,7.86,8.01,7.86,7.98,1010.0
2024_04_26,SIGS3,7.86,8.01,7.86,7.98,1010.0
2024_04_27,SIGS3,7.86,8.01,7.86,7.98,1010.0
2024_04_28,SIGS3,7.97,8.0,7.9,8.0,500.0
2024_04_29,SIGS3,7.9,8.18,7.9,8.03,2575.0
2024_04_30,SIGS3,8.02,8.05,8.02,8.03,5500.0
2024_05_01,SIGS3,8.02,8.05,8.02,8.03,5500.0
2024_05_02,SIGS3,8.06,8.17,8.06,8.08,2000.0
2024_05_03,SIGS3,8.06,8.17,8.06,8.08,2000.0
2024_05_04,SIGS3,8.06,8.17,8.06,8.08,2000.0
2024_05_05,SIGS3,8.1,8.28,8.1,8.28,1400.0
2024_05_06,SIGS3,8.28,8.55,8.28,8.55,2900.0
2024_05_07,SIGS3,8.72,8.72,8.55,8.72,750.0
2024_05_08,SIGS3,8.89,9.0,8.65,8.82,750.0
2024_05_09,SIGS3,8.96,8.96,8.9,8.9,200.0
2024_05_10,SIGS3,8.96,8.96,8.9,8.9,200.0
2024_05_11,SIGS3,8.96,8.96,8.9,8.9,200.0
2024_05_14,SIGS3,8.73,8.95,8.7,8.95,1500.0
2024_05_15,SIGS3,8.95,9.46,8.95,9.28,850.0
2024_05_16,SIGS3,9.1,9.28,9.1,9.28,400.0
2024_05_17,SIGS3,9.1,9.28,9.1,9.28,400.0
2024_05_18,SIGS3,9.1,9.28,9.1,9.28,400.0
2024_05_21,SIGS3,9.1,9.28,9.1,9.28,700.0
2024_05_22,SIGS3,9.1,9.2,9.02,9.02,750.0
2024_05_23,SIGS3,9.1,9.2,9.02,9.02,750.0
2024_05_24,SIGS3,9.1,9.2,9.02,9.02,750.0
2024_05_25,SIGS3,9.1,9.2,9.02,9.02,750.0
2024_05_26,SIGS3,9.01,9.02,9.01,9.02,700.0
2024_05_29,SIGS3,9.0,9.2,9.0,9.05,18510.0
2024_05_30,SIGS3,9.0,9.0,9.0,9.0,400.0
2024_05_31,SIGS3,9.0,9.0,9.0,9.0,400.0
2024_06_01,SIGS3,9.0,9.0,9.0,9.0,400.0
2024_06_03,SIGS3,8.82,8.99,8.82,8.89,600.0
2024_06_04,SIGS3,8.72,8.72,8.38,8.54,1000.0
2024_06_05,SIGS3,8.38,8.38,8.38,8.38,300.0
