Date,Symbol,Open,High,Low,Close,Volume
2024_03_10,SRBLD83,1005.1,1005.1,1005.1,1005.1,25.0
2024_03_11,SRBLD83,1005.1,1005.1,1005.1,1005.1,25.0
2024_03_13,SRBLD83,1025.0,1025.0,1025.0,1025.0,50.0
2024_03_14,SRBLD83,1021.0,1021.0,1021.0,1021.0,50.0
2024_03_15,SRBLD83,1021.0,1021.0,1021.0,1021.0,50.0
2024_03_16,SRBLD83,1021.0,1021.0,1021.0,1021.0,50.0
2024_03_17,SRBLD83,1010.1,1025.0,1010.1,1025.0,1275.0
2024_04_01,SRBLD83,1015.0,1015.0,1015.0,1015.0,200.0
2024_04_07,SRBLD83,1010.0,1010.0,1010.0,1010.0,50.0
2024_04_08,SRBLD83,1010.0,1010.0,1010.0,1010.0,50.0
2024_04_14,SRBLD83,1030.0,1030.0,1030.0,1030.0,10.0
2024_05_06,SRBLD83,1045.0,1045.0,1045.0,1045.0,75.0
2024_05_07,SRBLD83,1045.0,1045.0,1045.0,1045.0,25.0
2024_05_08,SRBLD83,1040.0,1040.0,1040.0,1040.0,100.0
2024_05_12,SRBLD83,1040.0,1040.0,1040.0,1040.0,20.0
2024_05_15,SRBLD83,1040.0,1040.0,1040.0,1040.0,200.0
2024_05_16,SRBLD83,1040.0,1040.0,1040.0,1040.0,100.0
2024_05_17,SRBLD83,1040.0,1040.0,1040.0,1040.0,100.0
2024_05_18,SRBLD83,1040.0,1040.0,1040.0,1040.0,100.0
2024_05_21,SRBLD83,1045.0,1045.0,1045.0,1045.0,25.0
2024_05_22,SRBLD83,1040.0,1040.0,1040.0,1040.0,25.0
2024_05_23,SRBLD83,1040.0,1040.0,1040.0,1040.0,25.0
2024_05_24,SRBLD83,1040.0,1040.0,1040.0,1040.0,25.0
2024_05_25,SRBLD83,1040.0,1040.0,1040.0,1040.0,25.0
2024_05_27,SRBLD83,1040.0,1040.0,1040.0,1040.0,50.0
2024_05_28,SRBLD83,1040.0,1040.0,1040.0,1040.0,50.0
2024_05_30,SRBLD83,1040.0,1040.0,1040.0,1040.0,25.0
2024_05_31,SRBLD83,1040.0,1040.0,1040.0,1040.0,25.0
2024_06_01,SRBLD83,1040.0,1040.0,1040.0,1040.0,25.0
2024_06_11,SRBLD83,1060.0,1060.0,1060.0,1060.0,25.0
2024_07_02,SRBLD83,1050.0,1050.0,1050.0,1050.0,5000.0
2024_07_07,SRBLD83,1060.0,1060.0,1060.0,1060.0,5000.0
2024_07_08,SRBLD83,1081.0,1081.0,1081.0,1081.0,10.0
2024_07_09,SRBLD83,1063.0,1063.0,1063.0,1063.0,20.0
2024_07_11,SRBLD83,1080.0,1080.0,1080.0,1080.0,30.0
2024_07_12,SRBLD83,1080.0,1080.0,1080.0,1080.0,30.0
2024_07_13,SRBLD83,1080.0,1080.0,1080.0,1080.0,30.0
2024_07_15,SRBLD83,1101.0,1101.0,1101.0,1101.0,10.0
2024_07_24,SRBLD83,1079.0,1079.0,1079.0,1079.0,200.0
2024_08_01,SRBLD83,1058.0,1058.0,1040.0,1040.0,50.0
2024_08_02,SRBLD83,1058.0,1058.0,1040.0,1040.0,50.0
2024_08_03,SRBLD83,1058.0,1058.0,1040.0,1040.0,50.0
2024_08_04,SRBLD83,1058.0,1058.0,1040.0,1040.0,50.0
2024_08_05,SRBLD83,1025.0,1025.0,1025.0,1025.0,34.0
2024_08_07,SRBLD83,1030.0,1030.0,1027.1,1027.1,50.0
2024_08_08,SRBLD83,1030.0,1046.0,1030.0,1046.0,200.0
2024_08_09,SRBLD83,1030.0,1046.0,1030.0,1046.0,200.0
2024_08_10,SRBLD83,1030.0,1046.0,1030.0,1046.0,200.0
2024_08_12,SRBLD83,1030.1,1030.1,1030.1,1030.1,30.0
2024_08_13,SRBLD83,1030.0,1045.0,1030.0,1040.0,165.0
2024_08_14,SRBLD83,1040.0,1041.0,1040.0,1040.0,275.0
2024_08_15,SRBLD83,1028.0,1028.0,1028.0,1028.0,300.0
2024_08_16,SRBLD83,1028.0,1028.0,1028.0,1028.0,300.0
2024_08_17,SRBLD83,1028.0,1028.0,1028.0,1028.0,300.0
2024_08_18,SRBLD83,1030.0,1030.0,1030.0,1030.0,80.0
2024_08_19,SRBLD83,1030.0,1030.0,1030.0,1030.0,80.0
2024_08_20,SRBLD83,1030.0,1030.0,1030.0,1030.0,80.0
2024_08_21,SRBLD83,1028.0,1028.0,1026.0,1026.0,100.0
2024_08_22,SRBLD83,1036.0,1036.0,1032.1,1032.1,490.0
2024_08_23,SRBLD83,1036.0,1036.0,1032.1,1032.1,490.0
2024_08_24,SRBLD83,1036.0,1036.0,1032.1,1032.1,490.0
2024_08_27,SRBLD83,1032.1,1032.1,1032.1,1032.1,9.0
2024_08_29,SRBLD83,1035.0,1035.0,1035.0,1035.0,50.0
2024_08_30,SRBLD83,1035.0,1035.0,1035.0,1035.0,50.0
2024_08_31,SRBLD83,1035.0,1035.0,1035.0,1035.0,50.0
2024_09_02,SRBLD83,1036.0,1036.0,1035.0,1035.0,1500.0
2024_09_04,SRBLD83,1037.0,1037.0,1036.0,1036.0,240.0
2024_09_10,SRBLD83,1039.1,1039.1,1039.1,1039.1,25.0
2024_09_11,SRBLD83,1039.1,1039.1,1039.1,1039.1,9.0
2024_09_22,SRBLD83,1062.0,1062.0,1062.0,1062.0,10.0
2024_09_23,SRBLD83,1050.0,1050.0,1050.0,1050.0,150.0
2024_09_24,SRBLD83,1069.0,1082.0,1069.0,1082.0,960.0
2024_09_29,SRBLD83,1063.0,1063.0,1063.0,1063.0,25.0
2024_09_30,SRBLD83,1053.5,1055.0,1053.0,1053.0,420.0
2024_10_02,SRBLD83,1055.0,1055.6,1050.5,1050.8,905.0
2024_10_03,SRBLD83,1055.0,1055.6,1050.5,1050.8,905.0
2024_10_04,SRBLD83,1055.0,1055.6,1050.5,1050.8,905.0
2024_10_05,SRBLD83,1055.0,1055.6,1050.5,1050.8,905.0
2024_10_08,SRBLD83,1052.1,1052.1,1052.1,1052.1,25.0
2024_10_15,SRBLD83,1073.1,1073.1,1073.1,1073.1,25.0
2024_10_21,SRBLD83,1075.0,1075.0,1075.0,1075.0,200.0
2024_10_23,SRBLD83,1065.0,1065.0,1065.0,1065.0,275.0
2024_10_30,SRBLD83,1072.0,1072.0,1072.0,1072.0,25.0
2024_10_31,SRBLD83,1072.0,1072.0,1072.0,1072.0,25.0
2024_11_01,SRBLD83,1072.0,1072.0,1072.0,1072.0,25.0
2024_11_02,SRBLD83,1072.0,1072.0,1072.0,1072.0,25.0
2024_11_03,SRBLD83,1072.0,1072.0,1072.0,1072.0,25.0
2024_11_04,SRBLD83,1072.0,1072.0,1072.0,1072.0,25.0
2024_11_06,SRBLD83,1093.0,1093.0,1090.0,1090.0,75.0
2024_11_07,SRBLD83,1093.0,1093.0,1090.0,1090.0,75.0
2024_11_08,SRBLD83,1093.0,1093.0,1090.0,1090.0,75.0
2024_11_09,SRBLD83,1093.0,1093.0,1090.0,1090.0,75.0
