Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,TRH,760.0,779.9,742.1,779.0,5233.0
2024_03_09,TRH,760.0,779.9,742.1,779.0,5233.0
2024_03_11,TRH,790.0,798.0,773.3,785.0,5437.0
2024_03_15,TRH,795.0,844.9,780.0,800.0,4694.0
2024_03_16,TRH,795.0,844.9,780.0,800.0,4694.0
2024_03_22,TRH,760.0,790.0,760.0,771.0,2572.0
2024_03_23,TRH,760.0,790.0,760.0,771.0,2572.0
2024_03_24,TRH,760.0,790.0,760.0,771.0,2572.0
2024_03_29,TRH,782.1,846.7,782.1,795.0,30196.0
2024_03_30,TRH,782.1,846.7,782.1,795.0,30196.0
2024_04_05,TRH,785.0,880.0,770.0,880.0,51371.0
2024_04_06,TRH,785.0,880.0,770.0,880.0,51371.0
2024_04_08,TRH,862.4,862.4,792.0,792.0,45341.0
2024_04_11,TRH,788.0,788.0,735.0,760.0,41305.0
2024_04_12,TRH,788.0,788.0,735.0,760.0,41305.0
2024_04_13,TRH,788.0,788.0,735.0,760.0,41305.0
2024_04_17,TRH,727.0,746.0,727.0,737.3,13003.0
2024_04_19,TRH,744.0,744.0,723.0,725.0,7930.0
2024_04_20,TRH,744.0,744.0,723.0,725.0,7930.0
2024_04_23,TRH,738.0,738.0,715.0,715.6,5661.0
2024_04_26,TRH,695.1,709.0,695.1,699.0,10678.0
2024_04_27,TRH,695.1,709.0,695.1,699.0,10678.0
2024_05_01,TRH,712.0,735.0,711.0,722.1,12684.0
2024_05_03,TRH,734.0,735.0,712.5,719.0,7919.0
2024_05_04,TRH,734.0,735.0,712.5,719.0,7919.0
2024_05_10,TRH,715.0,761.9,715.0,747.0,38508.0
2024_05_11,TRH,715.0,761.9,715.0,747.0,38508.0
2024_05_17,TRH,715.4,735.0,715.4,726.2,6185.0
2024_05_18,TRH,715.4,735.0,715.4,726.2,6185.0
2024_05_23,TRH,725.0,759.0,725.0,741.0,19338.0
2024_05_24,TRH,725.0,759.0,725.0,741.0,19338.0
2024_05_25,TRH,725.0,759.0,725.0,741.0,19338.0
2024_05_28,TRH,775.0,775.0,753.6,758.0,17978.0
2024_05_31,TRH,762.1,768.5,753.2,754.0,16100.0
2024_06_01,TRH,762.1,768.5,753.2,754.0,16100.0
2024_06_07,TRH,750.0,754.9,735.0,739.0,8454.0
2024_06_08,TRH,750.0,754.9,735.0,739.0,8454.0
2024_06_14,TRH,765.0,777.7,765.0,771.1,17101.0
2024_06_15,TRH,765.0,777.7,765.0,771.1,17101.0
2024_06_17,TRH,770.0,780.0,768.0,768.0,11089.0
2024_06_21,TRH,746.0,767.5,746.0,765.9,9353.0
2024_06_22,TRH,746.0,767.5,746.0,765.9,9353.0
2024_06_28,TRH,746.5,755.9,746.5,750.3,6483.0
2024_06_29,TRH,746.5,755.9,746.5,750.3,6483.0
2024_07_05,TRH,769.8,776.3,755.1,776.3,8883.0
2024_07_06,TRH,769.8,776.3,755.1,776.3,8883.0
2024_07_12,TRH,800.0,815.0,790.0,810.4,18736.0
2024_07_13,TRH,800.0,815.0,790.0,810.4,18736.0
2024_07_19,TRH,910.0,979.0,895.8,970.0,54053.0
2024_07_20,TRH,910.0,979.0,895.8,970.0,54053.0
2024_07_26,TRH,1019.0,1055.0,991.0,1046.0,76028.0
2024_07_27,TRH,1019.0,1055.0,991.0,1046.0,76028.0
