Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,UAIL,530.4,551.8,530.4,551.8,30.0
2024_03_05,UAIL,552.0,552.0,531.4,531.4,11228.0
2024_03_06,UAIL,521.0,545.0,521.0,529.0,16461.0
2024_03_07,UAIL,535.0,539.5,530.2,533.1,13240.0
2024_03_08,UAIL,535.0,539.5,530.2,533.1,13240.0
2024_03_09,UAIL,535.0,539.5,530.2,533.1,13240.0
2024_03_10,UAIL,535.0,555.0,535.0,550.0,27105.0
2024_03_11,UAIL,535.0,555.0,535.0,550.0,27105.0
2024_03_12,UAIL,561.0,575.2,553.1,572.3,20020.0
2024_03_13,UAIL,566.1,580.0,563.0,567.2,21199.0
2024_03_14,UAIL,557.0,566.2,555.0,556.0,26221.0
2024_03_15,UAIL,557.0,566.2,555.0,556.0,26221.0
2024_03_16,UAIL,557.0,566.2,555.0,556.0,26221.0
2024_03_17,UAIL,553.0,563.1,552.6,554.0,17155.0
2024_03_18,UAIL,562.0,562.0,548.2,551.2,12009.0
2024_03_19,UAIL,562.2,562.2,550.0,550.2,11052.0
2024_03_20,UAIL,546.0,556.8,546.0,548.1,10742.0
2024_03_21,UAIL,558.7,558.7,544.0,545.0,10019.0
2024_03_22,UAIL,558.7,558.7,544.0,545.0,10019.0
2024_03_23,UAIL,558.7,558.7,544.0,545.0,10019.0
2024_03_24,UAIL,558.7,558.7,544.0,545.0,10019.0
2024_03_25,UAIL,540.0,541.7,530.0,533.1,10380.0
2024_03_26,UAIL,537.8,537.8,530.2,535.0,6732.0
2024_03_27,UAIL,530.1,538.0,530.0,532.0,6996.0
2024_03_28,UAIL,526.0,535.0,526.0,533.0,14247.0
2024_03_29,UAIL,526.0,535.0,526.0,533.0,14247.0
2024_03_30,UAIL,526.0,535.0,526.0,533.0,14247.0
2024_03_31,UAIL,539.8,539.8,527.1,530.0,7505.0
2024_04_01,UAIL,525.5,530.0,525.5,525.8,9007.0
2024_04_02,UAIL,525.2,534.0,525.0,528.9,12821.0
2024_04_03,UAIL,534.9,534.9,522.0,523.0,12538.0
